pitch_type,player_name,game_date,p_throws,release_speed,effective_speed,release_spin_rate,spin_axis,pfx_x,pfx_z,plate_x,plate_z,release_pos_x,release_pos_y,release_pos_z,release_extension,vx0,vy0,vz0,ax,ay,az
FF,"Kopech, Michael",5/2/2023,R,94.9,95.5,2584,214,-0.62,1.4,0.1692352615621077,1.3847174727044838,-2.7,53.76,5.83,6.7,8.941974387634094,-137.7021123,-9.137646727,-9.886875022,29.812853262678026,-12.4422495
FC,"Clevinger, Mike",9/24/2023,R,84.3,85.1,2418,111,0.33,0.03,0.7993144665040185,1.023232244,-1.56,53.75,5.69,6.7,4.881370726438777,-122.7391026,-4.581116293,2.3988103992519365,23.68812817888909,-31.16909705
FF,"Davidson, Tucker",9/8/2023,L,91.3,91.5,2195,158,1.35,1.53,0.8868899906573207,2.3266115106607392,1.76,53.65,6,6.8,-5.149856618,-132.5799854,-6.622624597,16.955340103505335,32.14839476711214,-12.91212542
FF,"Megill, Tylor",9/16/2023,R,95,95.9,1856,208,-0.31,1.01,0.6637600855116144,3.1368978237760228,-1.33,53.56,6.03,6.9,5.994937589086351,-138.1968798,-4.198964455,-5.364506449,32.202619827868325,-18.55752827
SI,"Bard, Daniel",9/26/2023,R,94.3,94.4,2350,216,-0.93,0.59,-1.258276394,3.680679893,-2.23,54.45,5.61,6,4.564756761616868,-137.34406,-0.691925015,-12.74448322,26.93638415205311,-24.68858813
SI,"Sandoval, Patrick",8/14/2023,L,93.1,92.6,1691,148,1.15,1.03,2.330985862924658,3.938701958694439,0.99,54.6,6.13,5.9,0.8974056481022643,-135.6663098,-2.11863201,14.077775179079737,29.368509031949262,-19.25510008
FC,"Nelson, Ryne",4/9/2023,R,85.4,86,2282,100,0.15,0.15,-0.604918925,3.098475682305714,-1.19,53.99,6.09,6.5,1.0920982694144266,-124.4995848,-1.09187884,1.327808240848181,24.259960651217437,-30.63815501
FC,"Covey, Dylan",9/27/2023,R,94.9,94.5,2205,197,0.06,1.2,-0.212844719,2.2649610684376382,-1.66,54.42,6.37,6.1,3.6240642795060167,-138.0113559,-7.731089864,-0.050297578,30.73381889108129,-15.30633288
SL,"Kikuchi, Yusei",9/29/2023,L,87.8,88.5,2425,244,-0.3,0.13,-0.288426579,1.1793181243665225,2.53,53.66,5.2,6.8,-6.264679387,-127.6813567,-3.867308023,-1.883549352,27.27894476138953,-30.18708722
FF,"Lugo, Seth",4/21/2023,R,92.6,91.7,2418,206,-0.5,1.37,-0.325535338,1.6474874285905747,-0.9,54.65,5.8,5.9,2.5163354896232506,-134.702096,-7.706937673,-6.605929796,30.11731513791745,-14.06105462
SI,"Rodriguez, Eduardo",8/13/2023,L,91.9,92.6,2081,157,1.15,0.71,-0.085916322,2.6641146286269075,1.38,54.12,5.85,6.4,-6.221415373,-133.8648518,-3.869084839,15.117892465563916,25.57089786400696,-22.94012161
SL,"Banks, Tanner",6/25/2023,L,87.2,87.4,2439,198,-0.4,0.3,-0.619683511,2.249124223,2.9,54.38,6.16,6.1,-7.606765103,-126.9155066,-3.912811619,-3.027673262,22.64762225,-28.39977505
FF,"Giolito, Lucas",4/18/2023,R,94.2,94.7,2252,199,-0.45,1.53,0.2179988648088177,5.220369490192203,-1.21,53.81,6.28,6.7,4.7240576824468885,-137.0748566,-0.420917784,-6.700290461,31.588042907948346,-13.0996041
FF,"Oviedo, Johan",4/9/2023,R,96.7,98,2219,217,-1.03,1.03,-0.429345277,3.193308694839616,-2.81,53.34,5.71,7.2,8.839348695713628,-140.4943223,-3.528777883,-15.71144882,32.65011773991628,-17.9000286
CU,"Miller, Bobby",7/28/2023,R,81.4,82.3,2828,38,0.79,-1.07,-0.106470435,0.96750315,-1.12,53.56,5.98,6.9,0.7687283600560109,-118.5387267,-2.593416542,7.235732744307619,23.80175015047339,-41.8972633
KC,"Nola, Aaron",9/20/2023,R,80.8,81.7,2703,59,0.89,-0.99,-0.243462937,1.344494602647346,-2.26,53.52,5.09,7,2.817171094362984,-117.6352995,0.2303939048194068,7.711612022678408,23.09244448646792,-41.63821107
SI,"King, Michael",8/3/2023,R,94.9,94.9,2387,219,-1.44,0.27,-0.020381751,3.106110599125789,-2.18,54.04,5.69,6.5,8.909375941118245,-137.8873095,-1.660987158,-20.43779866,31.930625182115133,-28.58367191
FF,"Rutledge, Jackson",10/1/2023,R,95.5,95,2345,230,-1.02,1.17,0.3525532223681602,2.8236810366843894,-1.98,54.32,6.22,6.2,8.403584216058373,-138.7644972,-5.887627601,-15.09251845,32.57258706601125,-15.87973452
FF,"Kahnle, Tommy",7/9/2023,R,95.4,96.4,2153,202,-0.29,1.36,0.662024552,2.850170568905572,-1.86,53.62,6.01,6.9,7.370549064365089,-138.7439193,-5.789468489,-5.422883214,30.722188221312795,-13.4626955
FF,"Kopech, Michael",6/27/2023,R,94.8,96.4,2498,228,-0.81,1.39,-1.057023709,3.0632121500617258,-2.9,53.3,5.5,7.2,6.762248217087247,-137.9179641,-3.874687902,-11.87243032,30.77845196027636,-13.76352768
